date,total
2016-12-13,188.0
2016-12-14,842.0
2016-12-15,840.0
2016-12-16,1015.0
2016-12-17,838.0
2016-12-18,616.0
2016-12-19,912.0
2016-12-20,994.0
2016-12-21,930.0
2016-12-22,872.0
2016-12-23,864.0
2016-12-24,536.0
2016-12-25,328.0
2016-12-26,325.0
2016-12-27,508.0
2016-12-28,516.0
2016-12-29,563.0
2016-12-30,525.0
2016-12-31,477.0
2017-01-01,374.0
2017-01-02,436.0
2017-01-03,534.0
2017-01-04,562.0
2017-01-05,573.0
2017-01-06,450.0
2017-01-07,478.0
2017-01-08,480.0
2017-01-09,861.0
2017-01-10,827.0
2017-01-11,814.0
2017-01-12,817.0
2017-01-13,975.0
2017-01-14,763.0
2017-01-15,616.0
2017-01-16,905.0
2017-01-17,812.0
2017-01-18,850.0
2017-01-19,883.0
2017-01-20,985.0
2017-01-21,797.0
2017-01-22,653.0
2017-01-23,1044.0
2017-01-24,820.0
2017-01-25,846.0
2017-01-26,869.0
2017-01-27,977.0
2017-01-28,699.0
2017-01-29,618.0
2017-01-30,836.0
2017-01-31,842.0
2017-02-01,848.0
2017-02-02,798.0
2017-02-03,921.0
2017-02-04,826.0
2017-02-05,653.0
2017-02-06,825.0
2017-02-07,832.0
2017-02-08,1055.0
2017-02-09,968.0
2017-02-10,1023.0
2017-02-11,724.0
2017-02-12,592.0
2017-02-13,821.0
2017-02-14,896.0
2017-02-15,783.0
2017-02-16,810.0
2017-02-17,906.0
2017-02-18,704.0
2017-02-19,579.0
2017-02-20,957.0
2017-02-21,960.0
2017-02-22,970.0
2017-02-23,943.0
2017-02-24,974.0
2017-02-25,664.0
2017-04-27,625.0
2017-04-28,828.0
2017-04-29,765.0
2017-04-30,599.0
2017-05-01,60.0
2017-05-24,124.0
2017-05-25,627.0
2017-05-26,908.0
2017-05-27,673.0
2017-05-31,659.0
2017-06-01,882.0
2017-06-02,555.0
2017-06-03,638.0
2017-06-04,552.0
2017-06-05,946.0
2017-06-06,454.0
2017-06-07,623.0
2017-06-08,598.0
2017-06-09,943.0
2017-06-10,844.0
2017-06-11,262.0
2017-06-12,667.0
2017-06-13,568.0
2017-06-15,725.0
2017-06-16,1015.0
2017-06-17,749.0
2017-06-18,551.0
2017-06-19,890.0
2017-06-20,910.0
2017-06-21,994.0
2017-06-22,1065.0
2017-06-23,1110.0
2017-06-24,734.0
2017-06-25,514.0
2017-06-26,944.0
2017-06-27,920.0
2017-06-28,693.0
2017-06-29,599.0
2017-06-30,958.0
2017-07-01,713.0
2017-07-02,572.0
2017-07-03,946.0
2017-07-04,879.0
2017-07-05,904.0
2017-07-06,1162.0
2017-07-07,1111.0
2017-07-08,784.0
2017-07-09,666.0
2017-07-10,992.0
2017-07-11,982.0
2017-07-12,1041.0
2017-07-13,1095.0
2017-07-14,1074.0
2017-07-15,728.0
2017-07-16,671.0
2017-07-17,947.0
2017-07-18,932.0
2017-07-19,965.0
2017-07-20,994.0
2017-07-21,1114.0
2017-07-22,618.0
2017-07-27,515.0
2017-07-28,952.0
2017-07-29,648.0
2017-07-30,520.0
2017-07-31,832.0
2017-08-01,823.0
2017-08-02,797.0
2017-08-03,787.0
2017-08-04,833.0
2017-08-05,554.0
2017-08-06,410.0
2017-08-07,552.0
2017-08-08,524.0
2017-08-09,242.0
2017-08-22,258.0
2017-08-23,421.0
2017-08-24,437.0
2017-08-25,453.0
2017-08-26,404.0
2017-08-27,348.0
2017-08-28,598.0
2017-08-29,655.0
2017-08-30,676.0
2017-08-31,742.0
2017-09-01,788.0
2017-09-02,47.0
2017-09-05,561.0
2017-09-06,879.0
2017-09-07,947.0
2017-09-08,920.0
2017-09-09,803.0
2017-09-10,624.0
2017-09-11,897.0
2017-09-12,910.0
2017-09-13,929.0
2017-09-14,902.0
2017-09-15,902.0
2017-09-16,834.0
2017-09-17,723.0
2017-09-18,851.0
2017-09-19,907.0
2017-09-20,906.0
2017-09-21,921.0
2017-09-22,980.0
2017-09-23,1033.0
2017-09-24,627.0
2017-09-25,840.0
2017-09-26,778.0
2017-09-27,929.0
2017-09-28,953.0
2017-09-29,1083.0
2017-09-30,909.0
2017-10-01,739.0
2017-10-02,499.0
2017-10-03,955.0
2017-10-04,791.0
2017-10-05,984.0
2017-10-06,1118.0
2017-10-07,869.0
2017-10-08,738.0
2017-10-09,876.0
2017-10-10,960.0
2017-10-11,947.0
2017-10-12,1013.0
2017-10-13,1120.0
2017-10-14,930.0
2017-10-15,686.0
2017-10-16,911.0
2017-10-17,958.0
2017-10-18,1153.0
2017-10-19,1105.0
2017-10-20,1249.0
2017-10-21,1182.0
2017-10-22,897.0
2017-10-23,917.0
2017-10-24,862.0
2017-10-25,999.0
2017-10-26,978.0
2017-10-27,1310.0
2017-10-28,937.0
2017-10-29,828.0
2017-10-30,916.0
2017-10-31,1057.0
2017-11-01,755.0
2017-11-02,389.0
2017-11-13,635.0
2017-11-14,944.0
2017-11-15,1010.0
2017-11-16,1022.0
2017-11-17,1097.0
2017-11-18,923.0
2017-11-19,788.0
2017-11-20,1299.0
2017-11-21,1064.0
2017-11-22,1051.0
2017-11-23,1065.0
2017-11-24,1242.0
2017-11-25,1099.0
2017-11-26,997.0
2017-11-27,1161.0
2017-11-28,1033.0
2017-11-29,1106.0
2017-11-30,1162.0
2017-12-01,1357.0
2017-12-02,1162.0
2017-12-03,908.0
2017-12-04,1014.0
2017-12-05,747.0
2017-12-06,1014.0
2017-12-07,1013.0
2017-12-08,823.0
2017-12-09,655.0
2017-12-11,558.0
2017-12-12,1129.0
2017-12-13,1575.0
2017-12-14,1069.0
2017-12-15,1253.0
2017-12-16,1069.0
2017-12-17,971.0
2017-12-18,1152.0
2017-12-19,544.0
2017-12-20,1355.0
2017-12-21,1345.0
2017-12-22,1245.0
2017-12-23,966.0
2017-12-24,756.0
2017-12-25,490.0
2017-12-26,492.0
2017-12-27,868.0
2017-12-28,784.0
2017-12-29,746.0
2017-12-30,575.0
2017-12-31,612.0
2018-01-01,600.0
2018-01-02,624.0
2018-01-03,795.0
2018-01-04,666.0
2018-01-05,722.0
2018-01-06,692.0
2018-01-07,703.0
2018-01-08,1046.0
2018-01-09,1119.0
2018-01-10,1058.0
2018-01-11,1037.0
2018-01-12,1144.0
2018-01-13,1027.0
2018-01-14,798.0
2018-01-15,1053.0
2018-01-16,1000.0
2018-01-17,1140.0
2018-01-18,1096.0
2018-01-19,1179.0
2018-01-20,972.0
2018-01-21,883.0
2018-01-22,1025.0
2018-01-23,1016.0
2018-01-24,1073.0
2018-01-25,1139.0
2018-01-26,1369.0
2018-01-27,1005.0
2018-01-28,867.0
2018-01-29,1147.0
2018-01-30,1039.0
