date,total
2017-12-01,1768.0
2017-12-02,1733.0
2017-12-03,1451.0
2017-12-04,1539.0
2017-12-05,1619.0
2017-12-06,1559.0
2017-12-07,1800.0
2017-12-08,1739.0
2017-12-09,1225.0
2017-12-11,821.0
2017-12-12,1572.0
2017-12-13,2029.0
2017-12-14,1754.0
2017-12-15,1849.0
2017-12-16,1817.0
2017-12-17,1638.0
2017-12-18,1755.0
2017-12-19,1980.0
2017-12-20,1841.0
2017-12-21,1767.0
2017-12-22,1725.0
2017-12-23,1411.0
2017-12-24,1145.0
2017-12-25,896.0
2017-12-26,813.0
2017-12-27,1226.0
2017-12-28,1256.0
2017-12-29,1103.0
2017-12-30,1078.0
2017-12-31,1048.0
